ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
4960;-24,74;-47,54;ILHA COMPRIDA - SP;ILHA COMPRIDA;SP;23812,6519553137
4961;-20,43;-51,34;ILHA SOLTEIRA - SP;ILHA SOLTEIRA;SP;140199,25990594
4962;-23,77;-45,35;ILHABELA - SP;ILHABELA;SP;79892,6985680058
4963;-23,09;-47,21;INDAIATUBA - SP;INDAIATUBA;SP;773803,840368827
4964;-22,17;-51,25;INDIANA - SP;INDIANA;SP;30066,2414275024
4965;-19,98;-50,29;INDIAPORA - SP;INDIAPORA;SP;26979,2157716413
4966;-21,77;-50,96;INUBIA PAULISTA - SP;INUBIA PAULISTA;SP;21180,6446459951
4967;-23,05;-49,62;IPAUCU - SP;IPAUCU;SP;79303,5151097006
4968;-23,35;-47,68;IPERO - SP;IPERO;SP;95317,5839483478
4969;-22,43;-47,71;IPEUNA - SP;IPEUNA;SP;21591,4436114095
4970;-20,65;-49,38;IPIGUA - SP;IPIGUA;SP;17946,7700765978
4971;-24,58;-48,59;IPORANGA - SP;IPORANGA;SP;30323,0627944349
4972;-20,43;-48,01;IPUA - SP;IPUA;SP;71062,2208647795
4973;-22,58;-47,51;IRACEMAPOLIS - SP;IRACEMAPOLIS;SP;92465,4036786607
4974;-21,27;-49,4;IRAPUA - SP;IRAPUA;SP;41580,5300531294
4975;-21,57;-51,34;IRAPURU - SP;IRAPURU;SP;47966,0645253407
4976;-23,86;-49,13;ITABERA - SP;ITABERA;SP;126339,60679681
4977;-23,41;-49,09;ITAI - SP;ITAI;SP;108488,42327862
4978;-21,31;-49,05;ITAJOBI - SP;ITAJOBI;SP;91305,8155262338
4979;-21,98;-48,8;ITAJU - SP;ITAJU;SP;13723,3485375469
4980;-24,18;-46,78;ITANHAEM - SP;ITANHAEM;SP;349363,238236549
4981;-24,64;-48,84;ITAOCA - SP;ITAOCA;SP;21673,1743620696
4982;-23,71;-46,84;ITAPECERICA DA SERRA - SP;ITAPECERICA DA SERRA;SP;710062,473316886
4983;-23,59;-48,05;ITAPETININGA - SP;ITAPETININGA;SP;737053,464469056
4984;-23,98;-48,87;ITAPEVA - SP;ITAPEVA;SP;470135,569742966
4985;-23,54;-46,93;ITAPEVI - SP;ITAPEVI;SP;845634,331270388
4986;-22,43;-46,82;ITAPIRA - SP;ITAPIRA;SP;379055,946337184
4987;-24,57;-49,16;ITAPIRAPUA PAULISTA - SP;ITAPIRAPUA PAULISTA;SP;21343,7513978609
4988;-21,59;-48,81;ITAPOLIS - SP;ITAPOLIS;SP;246789,626319031
4989;-23,7;-49,49;ITAPORANGA - SP;ITAPORANGA;SP;90666,7318466764
4990;-22,23;-48,71;ITAPUI - SP;ITAPUI;SP;69027,7257319742
